 ,Label,Area,Mean,Perim.,Circ.,AR,Round,Solidity
58,20200626004-1-1-1-S7.2.jpg,0.081,255,0.949,1.000,1.372,0.729,0.957
59,20200626004-1-1-1-S7.2.jpg,0.206,255,1.626,0.978,1.181,0.847,0.848
60,20200626004-1-1-1-S7.2.jpg,4.144,255,11.375,0.402,2.349,0.426,0.668
61,20200626004-1-1-1-S7.2.jpg,0.970,255,5.067,0.475,3.251,0.308,0.739
62,20200626004-1-1-1-S7.2.jpg,1.646,255,7.207,0.398,2.618,0.382,0.646
63,20200626004-1-1-1-S7.2.jpg,1.117,255,4.573,0.671,1.925,0.519,0.806
64,20200626004-1-1-1-S7.2.jpg,5.136,255,10.660,0.568,1.822,0.549,0.803
65,20200626004-1-1-1-S7.2.jpg,4.452,255,12.374,0.365,2.061,0.485,0.715
66,20200626004-1-1-1-S7.2.jpg,0.154,255,1.313,1.000,1.000,1.000,0.913
67,20200626004-1-1-1-S7.2.jpg,0.250,255,1.827,0.941,1.365,0.732,0.907
68,20200626004-1-1-1-S7.2.jpg,8.383,255,17.128,0.359,1.175,0.851,0.697
69,20200626004-1-1-1-S7.2.jpg,0.456,255,2.826,0.717,1.587,0.630,0.838
70,20200626004-1-1-1-S7.2.jpg,6.634,255,13.181,0.480,1.183,0.845,0.740
71,20200626004-1-1-1-S7.2.jpg,0.169,255,1.484,0.964,1.497,0.668,0.885
72,20200626004-1-1-1-S7.2.jpg,0.411,255,2.483,0.838,1.082,0.924,0.896
73,20200626004-1-1-1-S7.2.jpg,0.103,255,1.191,0.911,1.789,0.559,0.848
74,20200626004-1-1-1-S7.2.jpg,0.456,255,2.776,0.743,1.350,0.741,0.855
75,20200626004-1-1-1-S7.2.jpg,0.500,255,3.361,0.556,2.157,0.464,0.819
76,20200626004-1-1-1-S7.2.jpg,0.566,255,2.968,0.807,1.984,0.504,0.890
77,20200626004-1-1-1-S7.2.jpg,2.836,255,8.106,0.542,1.921,0.521,0.773
78,20200626004-1-1-1-S7.2.jpg,0.882,255,3.553,0.877,1.433,0.698,0.906
79,20200626004-1-1-1-S7.2.jpg,5.231,255,9.327,0.756,1.631,0.613,0.902
